オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス
201901050020-1,2019-01-05,C00001606,TS-CWGS,1,7600,2019-01-07,,配達済み
201901050001-1,2019-01-05,C00000351,SK-BWWM,1,14100,2019-01-07,,配達済み
201901050005-1,2019-01-05,C00000779,CT-CMBS,1,30800,2019-01-06,,配達済み
201901050019-1,2019-01-05,C00001482,TB-AUNN,1,7800,2019-01-07,,配達済み
201901050017-1,2019-01-05,C00001406,PA-CWGM,1,14300,2019-01-06,,配達済み
201901070013-1,2019-01-07,C00001445,SW-BMGL,1,15900,2019-01-14,,配達済み
201901070014-1,2019-01-07,C00001573,NI-BMGM,1,14500,2019-01-11,,配達済み
201901070005-1,2019-01-07,C00000551,PA-CWGL,1,14300,2019-01-13,,配達済み
201901070008-1,2019-01-07,C00001227,PA-BMBS,1,20000,2019-01-12,,配達済み
201901070006-1,2019-01-07,C00000604,PA-AMBL,1,16500,2019-01-12,,配達済み
201901070015-1,2019-01-07,C00001989,BP-CUNN,1,12900,2019-01-13,,配達済み
201901070002-1,2019-01-07,C00000094,CT-AWGS,1,41200,2019-01-14,,配達済み
201901070007-1,2019-01-07,C00001199,SB-AUNN,1,8800,2019-01-11,,配達済み
201901090008-2,2019-01-09,C00001189,PA-BWGS,1,19800,2019-01-14,,配達済み
201901090014-1,2019-01-09,C00001219,HA-AUNN,1,5280,2019-01-15,,配達済み
201901090011-1,2019-01-09,C00001214,PA-BMGS,1,20000,2019-01-12,,配達済み
201901090003-1,2019-01-09,C00000672,SK-AWBS,1,18100,2019-01-13,,配達済み
201901090007-1,2019-01-09,C00000926,SK-AWWL,3,54300,2019-01-15,,配達済み
201901090005-1,2019-01-09,C00000833,PA-AMWM,1,16500,2019-01-13,,配達済み
201901090002-1,2019-01-09,C00000342,NI-CWGS,2,24800,2019-01-15,,配達済み
201901090008-1,2019-01-09,C00001189,TS-AWGL,1,8900,2019-01-15,,配達済み
201901090001-1,2019-01-09,C00000028,PA-BWWL,2,39600,2019-01-14,,配達済み
201901100006-1,2019-01-10,C00000856,BP-CUNN,1,12900,2019-01-16,,配達済み
201901100005-1,2019-01-10,C00000766,TO-BUNN,1,2180,2019-01-13,,配達済み
201901100006-2,2019-01-10,C00000856,TS-CWWS,1,7600,2019-01-14,,配達済み
201901100003-1,2019-01-10,C00000591,TS-AWBM,1,8900,2019-01-14,,配達済み
201901100002-1,2019-01-10,C00000387,TO-BUNN,1,2180,2019-01-14,,配達済み
201901100017-1,2019-01-10,C00001774,SK-AWGL,1,18100,2019-01-16,,配達済み
201901100016-1,2019-01-10,C00001457,TB-AUNN,1,7800,2019-01-13,,配達済み
201901100012-1,2019-01-10,C00001449,TS-AWGS,1,8900,2019-01-16,,配達済み
201901100012-2,2019-01-10,C00001449,JA-AWWL,1,31900,2019-01-15,,配達済み
201901100001-1,2019-01-10,C00000107,BP-CUNN,1,12900,2019-01-13,,配達済み
201901100008-1,2019-01-10,C00001064,HA-BUNN,1,4800,2019-01-16,,配達済み
201901100012-3,2019-01-10,C00001449,PA-CWWM,1,14300,2019-01-16,,配達済み
201901100008-2,2019-01-10,C00001064,SW-AWWM,1,17600,2019-01-15,,配達済み
201901110029-1,2019-01-11,C00002114,HA-AUNN,1,5280,2019-01-17,,配達済み
201901110018-1,2019-01-11,C00001021,NI-CMWS,1,12300,2019-01-17,,配達済み
201901110020-1,2019-01-11,C00001435,HA-AUNN,1,5280,2019-01-18,,配達済み
201901110022-1,2019-01-11,C00001613,BP-AUNN,1,10200,2019-01-14,,配達済み
201901110019-1,2019-01-11,C00001349,SW-BWGM,1,15900,2019-01-17,,配達済み
201901110005-1,2019-01-11,C00000303,SK-AWBL,1,18100,2019-01-14,,配達済み
201901110017-1,2019-01-11,C00001012,TB-AUNN,1,7800,2019-01-15,,配達済み
201901110007-1,2019-01-11,C00000398,PA-BWBM,3,59400,2019-01-14,,配達済み
201901110002-1,2019-01-11,C00000188,JA-BWWM,1,21000,2019-01-16,,配達済み
201901110025-1,2019-01-11,C00002093,VE-AWGM,1,18900,2019-01-16,,配達済み
201901110024-1,2019-01-11,C00001851,HC-BUNN,3,2940,2019-01-16,,配達済み
201901110023-1,2019-01-11,C00001767,PA-BWBL,1,19800,2019-01-14,2019-01-28,キャンセル
201901110030-1,2019-01-11,C00002126,HC-BUNN,1,980,2019-01-14,,配達済み
201901110010-1,2019-01-11,C00000424,PA-CMBL,1,14300,2019-01-16,,配達済み
201901110016-1,2019-01-11,C00000802,TB-BUNN,1,9800,2019-01-17,,配達済み
201901110006-1,2019-01-11,C00000361,TS-BMBM,1,8700,2019-01-14,,配達済み
201901120005-1,2019-01-12,C00002211,SK-AWWM,3,54300,2019-01-17,2019-01-19,キャンセル
201901120004-1,2019-01-12,C00001994,PA-AMWL,1,16500,2019-01-17,,配達済み
201901120001-2,2019-01-12,C00001328,TS-AWGS,4,35600,2019-01-18,2019-01-19,キャンセル
201901120001-1,2019-01-12,C00001328,TO-AUNN,1,2280,2019-01-19,2019-01-19,キャンセル
201901130002-1,2019-01-13,C00000617,PA-BMBM,4,80000,2019-01-17,,配達済み
201901130001-1,2019-01-13,C00000339,NI-CWWM,1,12400,2019-01-18,,配達済み
201901130003-1,2019-01-13,C00001963,BP-BUNN,1,9800,2019-01-18,,配達済み
201901160005-1,2019-01-16,C00000188,SB-CUNN,1,5890,2019-01-22,,配達済み
201901160010-1,2019-01-16,C00000557,NI-CMWM,1,12300,2019-01-21,,配達済み
201901160008-1,2019-01-16,C00000335,PA-AMWS,1,16500,2019-01-18,,配達済み
201901160018-1,2019-01-16,C00001569,JA-BWWM,1,21000,2019-01-20,,配達済み
201901160001-1,2019-01-16,C00000118,TS-BMWS,1,8700,2019-01-21,,配達済み
201901160020-1,2019-01-16,C00001604,PA-CMGS,1,14300,2019-01-25,,配達済み
201901160015-1,2019-01-16,C00000810,PA-BMWL,1,20000,2019-01-20,,配達済み
201901160012-1,2019-01-16,C00000661,JA-BWGL,1,21000,2019-01-24,,配達済み
201901160022-1,2019-01-16,C00002011,SK-AWBM,1,18100,2019-01-24,,配達済み
201901160016-1,2019-01-16,C00001115,HA-AUNN,1,5280,2019-01-20,,配達済み
201901160007-1,2019-01-16,C00000201,SW-BMGM,1,15900,2019-01-19,,配達済み
201901160021-1,2019-01-16,C00001795,NI-BWBS,1,15100,2019-01-19,,配達済み
201901180002-1,2019-01-18,C00000067,PA-BMGM,1,20000,2019-01-22,,配達済み
201901180013-1,2019-01-18,C00001177,TB-AUNN,1,7800,2019-01-23,,配達済み
201901180010-1,2019-01-18,C00000506,PA-BMGM,2,40000,2019-01-23,,配達済み
201901180008-1,2019-01-18,C00000447,TS-CWBS,1,7600,2019-01-20,,配達済み
201901180011-1,2019-01-18,C00000768,PA-CWWS,1,14300,2019-01-24,,配達済み
201901180016-1,2019-01-18,C00002003,TO-AUNN,1,2280,2019-01-23,,配達済み
201901180009-1,2019-01-18,C00000476,PA-CMBS,1,14300,2019-01-22,,配達済み
201901180014-1,2019-01-18,C00001700,PA-BMBL,1,20000,2019-01-21,,配達済み
201901180017-1,2019-01-18,C00002010,HA-AUNN,1,5280,2019-01-24,,配達済み
201901200017-1,2019-01-20,C00001188,SW-AMWL,4,64000,2019-01-24,,配達済み
201901200003-1,2019-01-20,C00000278,NI-BWWL,1,15100,2019-01-27,,配達済み
201901200009-1,2019-01-20,C00000372,SW-BWBM,1,15900,2019-01-22,,配達済み
201901200000-1,2019-01-20,C00000168,VE-CWWM,1,16800,2019-01-20,,配達済み
201901200011-1,2019-01-20,C00000391,HC-BUNN,1,980,2019-01-22,2019-02-04,キャンセル
201901200016-1,2019-01-20,C00000974,HA-AUNN,1,5280,2019-01-20,,配達済み
201901200012-1,2019-01-20,C00000445,NI-BWGS,1,15100,2019-01-24,,配達済み
201901200018-1,2019-01-20,C00001425,TS-CMBL,1,7600,2019-01-24,,配達済み
201901200015-1,2019-01-20,C00000476,PA-AMWM,1,16500,2019-01-24,,配達済み
201901200002-1,2019-01-20,C00000225,HC-BUNN,1,980,2019-01-21,,配達済み
201901210000-1,2019-01-21,C00000163,PA-BWBM,1,19800,2019-01-27,,配達済み
201901210001-1,2019-01-21,C00000353,NI-BWGL,1,15100,2019-01-24,,配達済み
201901210002-1,2019-01-21,C00000366,TS-CWGL,1,7600,2019-01-27,,配達済み
201901210004-1,2019-01-21,C00001139,SB-BUNN,1,6800,2019-01-26,,配達済み
201901210006-1,2019-01-21,C00001993,NI-BWWS,1,15100,2019-01-27,,配達済み
201901210002-2,2019-01-21,C00000366,BP-AUNN,1,10200,2019-01-27,,配達済み
201901210001-2,2019-01-21,C00000353,BP-AUNN,1,10200,2019-01-25,,配達済み
201901220009-1,2019-01-22,C00002111,SW-BMWS,3,47700,2019-01-25,,配達済み
201901220008-1,2019-01-22,C00002070,JA-CMBM,1,20800,2019-01-25,,配達済み
201901220004-1,2019-01-22,C00001383,NI-BWWS,1,15100,2019-01-24,,配達済み
201901220003-1,2019-01-22,C00000801,PA-BMBL,1,20000,2019-01-25,,配達済み
201901220000-1,2019-01-22,C00000220,SW-CWWL,2,36800,2019-01-25,,配達済み
201901230005-2,2019-01-23,C00001851,TS-AMGM,1,7900,2019-01-28,,配達済み
201901230000-1,2019-01-23,C00000480,SK-AWGL,1,18100,2019-01-30,,配達済み
201901230005-1,2019-01-23,C00001851,PA-AKWL,1,7600,2019-01-27,,配達済み
201901230002-1,2019-01-23,C00001815,PA-CMGL,1,14300,2019-01-30,,配達済み
201901250019-1,2019-01-25,C00002053,BP-AUNN,1,10200,2019-01-30,,配達済み
201901250019-2,2019-01-25,C00002053,PA-BWWM,1,19800,2019-01-31,,配達済み
201901250016-1,2019-01-25,C00001832,PA-CWBS,1,14300,2019-01-28,,配達済み
201901250017-1,2019-01-25,C00001861,TB-BUNN,1,9800,2019-02-01,2019-01-25,キャンセル
201901250006-1,2019-01-25,C00001621,HC-BUNN,2,1960,2019-01-31,,配達済み
201901250003-1,2019-01-25,C00000544,TS-CWGM,1,7600,2019-01-28,,配達済み
201901250005-2,2019-01-25,C00001239,TS-AWWS,1,8900,2019-01-31,,配達済み
201901250017-2,2019-01-25,C00001861,PA-CWBM,1,14300,2019-01-31,2019-01-25,キャンセル
201901250000-2,2019-01-25,C00000250,SK-AWGS,1,18100,2019-01-30,,配達済み
201901250011-1,2019-01-25,C00001814,PA-AMGL,1,16500,2019-01-31,,配達済み
201901250005-1,2019-01-25,C00001239,HA-AKNN,1,4300,2019-01-31,,配達済み
201901250008-1,2019-01-25,C00001755,SK-AWBS,1,18100,2019-01-30,,配達済み
201901250000-1,2019-01-25,C00000250,PA-BWGL,1,19800,2019-01-30,,配達済み
201901250004-1,2019-01-25,C00001062,TS-AWBS,1,8900,2019-01-28,,配達済み
201901260012-2,2019-01-26,C00001155,TS-BMBM,1,8700,2019-02-01,,配達済み
201901260002-1,2019-01-26,C00000440,JA-CWWS,1,22100,2019-01-30,,配達済み
201901260012-1,2019-01-26,C00001155,BP-BUNN,1,9800,2019-01-30,,配達済み
201901260009-1,2019-01-26,C00000746,TB-BUNN,1,9800,2019-02-01,,配達済み
201901260019-1,2019-01-26,C00002178,PA-BWWM,1,19800,2019-01-29,,配達済み
201901260006-1,2019-01-26,C00000504,PA-CWBS,1,14300,2019-01-31,,配達済み
201901260000-2,2019-01-26,C00000077,CT-AWBM,2,82400,2019-01-31,,配達済み
201901260000-1,2019-01-26,C00000077,HA-AUNN,1,5280,2019-02-01,,配達済み
201901260016-2,2019-01-26,C00001722,HA-AUNN,2,10560,2019-01-31,,配達済み
201901260010-1,2019-01-26,C00001068,SW-CMBS,1,18400,2019-02-01,,配達済み
201901260001-1,2019-01-26,C00000255,NI-BWGS,1,15100,2019-02-01,,配達済み
201901260016-1,2019-01-26,C00001722,NI-AWBL,4,44000,2019-02-01,,配達済み
201901260014-1,2019-01-26,C00001338,JA-AWWS,2,63800,2019-01-31,,配達済み
201901270000-1,2019-01-27,C00000111,HC-AUNN,2,2400,2019-01-31,,配達済み
201901280019-1,2019-01-28,C00000737,SK-AWWM,3,54300,2019-02-03,,配達済み
201901280007-1,2019-01-28,C00000273,PA-CMWL,2,28600,2019-02-02,,配達済み
201901280028-1,2019-01-28,C00002042,PA-AMBS,1,16500,2019-02-03,,配達済み
201901280029-1,2019-01-28,C00002172,TS-CMGM,1,7600,2019-01-31,,配達済み
201901280026-1,2019-01-28,C00001732,SW-CWGS,1,18400,2019-02-04,,配達済み
201901280027-1,2019-01-28,C00001867,NI-CMGM,1,12300,2019-02-03,,配達済み
201901280024-2,2019-01-28,C00001065,PA-CWGM,1,14300,2019-02-02,,配達済み
201901280010-1,2019-01-28,C00000412,BP-BUNN,1,9800,2019-01-31,,配達済み
201901280024-1,2019-01-28,C00001065,PA-CMGL,2,28600,2019-02-03,,配達済み
201901280009-1,2019-01-28,C00000353,TB-AUNN,2,15600,2019-01-31,,配達済み
201901280025-1,2019-01-28,C00001385,CT-AKWL,1,19800,2019-02-02,,配達済み
201901280008-1,2019-01-28,C00000287,NI-CMGS,1,12300,2019-01-31,,配達済み
201901280005-1,2019-01-28,C00000092,SK-AWBS,1,18100,2019-02-03,,配達済み
201901280014-1,2019-01-28,C00000455,PA-CWGS,1,14300,2019-01-31,,配達済み
201901280020-1,2019-01-28,C00000808,BP-AUNN,1,10200,2019-02-01,,配達済み
201901280023-1,2019-01-28,C00000930,TS-CMWS,1,7600,2019-01-31,,配達済み
201901300000-1,2019-01-30,C00000370,HA-AUNN,1,5280,2019-02-05,,配達済み
201901310001-1,2019-01-31,C00000687,TO-AUNN,1,2280,2019-02-04,,配達済み
201901310003-1,2019-01-31,C00001844,BP-CUNN,1,12900,2019-02-06,,配達済み
201902010007-1,2019-02-01,C00000292,JA-AWBL,3,95700,2019-02-06,,配達済み
201902010001-1,2019-02-01,C00000101,BP-BUNN,1,9800,2019-02-07,,配達済み
201902010024-1,2019-02-01,C00001893,PA-AMGM,2,33000,2019-02-04,,配達済み
201902010020-1,2019-02-01,C00001570,PA-CMWL,1,14300,2019-02-07,,配達済み
201902010015-1,2019-02-01,C00000921,PA-CWBM,1,14300,2019-02-06,,配達済み
201902010023-1,2019-02-01,C00001646,BP-BUNN,1,9800,2019-02-07,,配達済み
201902010006-1,2019-02-01,C00000122,TB-AUNN,1,7800,2019-02-04,,配達済み
201902010023-2,2019-02-01,C00001646,SK-AWBM,1,18100,2019-02-04,,配達済み
201902010021-1,2019-02-01,C00001635,TO-AUNN,1,2280,2019-02-06,,配達済み
201902010009-1,2019-02-01,C00000317,PA-CMGM,2,28600,2019-02-04,,配達済み
201902010000-1,2019-02-01,C00000066,TS-BMBL,1,8700,2019-02-06,,配達済み
201902010019-1,2019-02-01,C00001526,PA-BMWS,2,40000,2019-02-07,,配達済み
201902010027-1,2019-02-01,C00002126,HC-BUNN,1,980,2019-02-06,,配達済み
201902010016-1,2019-02-01,C00000977,TO-BUNN,1,2180,2019-02-06,,配達済み
201902010012-1,2019-02-01,C00000848,TO-BUNN,1,2180,2019-02-07,,配達済み
201902020012-1,2019-02-02,C00001719,HC-BUNN,1,980,2019-02-03,,配達済み
201902020002-1,2019-02-02,C00000870,TS-AMBM,2,15800,2019-02-03,,配達済み
201902020001-1,2019-02-02,C00000657,TS-BWGS,1,7600,2019-02-03,,配達済み
201902020014-1,2019-02-02,C00002018,PA-BMBL,1,20000,2019-02-02,,配達済み
201902020004-1,2019-02-02,C00001033,BP-AUNN,1,10200,2019-02-05,,配達済み
201902020015-1,2019-02-02,C00002149,SK-AWWM,1,18100,2019-02-02,,配達済み
201902020000-1,2019-02-02,C00000117,PA-BWGS,1,19800,2019-02-04,,配達済み
201902020015-2,2019-02-02,C00002149,PA-BWGS,1,19800,2019-02-03,,配達済み
201902020015-3,2019-02-02,C00002149,NI-CWWL,1,12400,2019-02-04,,配達済み
201902020008-1,2019-02-02,C00001691,NI-AWGM,2,22000,2019-02-03,,配達済み
201902030002-1,2019-02-03,C00000131,SB-BUNN,1,6800,2019-02-11,,配達済み
201902030001-1,2019-02-03,C00000119,TS-AWWL,1,8900,2019-02-08,,配達済み
201902030004-1,2019-02-03,C00001157,HC-BUNN,1,980,2019-02-10,,配達済み
201902030008-1,2019-02-03,C00002066,PA-BWWL,1,19800,2019-02-05,,配達済み
201902030005-1,2019-02-03,C00001833,CT-BMBS,1,38900,2019-02-09,,配達済み
201902040002-1,2019-02-04,C00000208,SB-CUNN,1,5890,2019-02-08,,配達済み
201902040007-1,2019-02-04,C00002093,TB-BUNN,4,39200,2019-02-11,,配達済み
201902040003-1,2019-02-04,C00000319,SB-CUNN,1,5890,2019-02-11,,配達済み
201902040004-1,2019-02-04,C00000509,SW-AMWL,2,32000,2019-02-08,,配達済み
201902050001-1,2019-02-05,C00000157,BP-AUNN,1,10200,2019-02-07,,配達済み
201902050005-1,2019-02-05,C00001354,JA-BMWS,1,19400,2019-02-07,,配達済み
201902050002-1,2019-02-05,C00000324,CT-BWBS,1,35200,2019-02-05,,配達済み
201902060007-1,2019-02-06,C00001516,SB-BUNN,4,27200,2019-02-09,,配達済み
201902060002-1,2019-02-06,C00000038,PA-AMBS,1,16500,2019-02-12,,配達済み
201902060006-1,2019-02-06,C00000689,HC-BUNN,1,980,2019-02-09,,配達済み
201902060004-1,2019-02-06,C00000432,PA-CWBM,1,14300,2019-02-10,,配達済み
201902070001-2,2019-02-07,C00000307,HC-BUNN,1,980,2019-02-11,,配達済み
201902070013-1,2019-02-07,C00001898,SW-CMWM,1,18400,2019-02-11,,配達済み
201902070007-1,2019-02-07,C00001643,TO-BUNN,1,2180,2019-02-11,,配達済み
201902070001-1,2019-02-07,C00000307,PA-CWGM,1,14300,2019-02-12,,配達済み
201902070010-2,2019-02-07,C00001667,VE-BWBS,2,37800,2019-02-12,,配達済み
201902070004-2,2019-02-07,C00000758,BP-AUNN,1,10200,2019-02-14,,配達済み
201902070015-1,2019-02-07,C00001951,HC-BUNN,4,3920,2019-02-09,,配達済み
201902070010-1,2019-02-07,C00001667,SW-BWGS,1,15900,2019-02-13,,配達済み
201902070011-1,2019-02-07,C00001799,TO-AUNN,1,2280,2019-02-10,,配達済み
201902070004-1,2019-02-07,C00000758,HC-AUNN,1,1200,2019-02-12,,配達済み
201902070006-1,2019-02-07,C00001293,TO-AUNN,1,2280,2019-02-12,,配達済み
201902080008-1,2019-02-08,C00001795,PA-BWGM,1,19800,2019-02-12,,配達済み
201902080001-1,2019-02-08,C00001189,NI-CWWL,1,12400,2019-02-12,,配達済み
201902080003-1,2019-02-08,C00001310,HA-AUNN,1,5280,2019-02-09,,配達済み
201902080005-1,2019-02-08,C00001354,PA-CWBM,1,14300,2019-02-12,,配達済み
201902080000-1,2019-02-08,C00000545,BP-CUNN,1,12900,2019-02-13,,配達済み
201902080011-1,2019-02-08,C00001843,TS-CWBS,1,7600,2019-02-10,,配達済み
201902090006-1,2019-02-09,,,0,999999,2019-02-17,,テスト
201902090011-1,2019-02-09,C00001662,TS-CMWM,3,22800,2019-02-12,,配達済み
201902090008-1,2019-02-09,,,0,999999,2019-02-15,,テスト
201902090000-1,2019-02-09,,,0,999999,2019-02-15,,テスト
201902090001-1,2019-02-09,C00001262,PA-AMWL,1,16500,2019-02-12,,配達済み
201902090010-1,2019-02-09,C00001650,HA-AUNN,1,5280,2019-02-13,,配達済み
201902100004-1,2019-02-10,C00001204,BP-CUNN,1,12900,2019-02-14,,配達済み
201902100005-1,2019-02-10,C00001673,NI-AWGM,1,11000,2019-02-14,,配達済み
201902100002-1,2019-02-10,C00001192,TS-BWGS,3,22800,2019-02-17,,配達済み
201902130000-1,2019-02-13,C00001897,PA-AMBL,1,16500,2019-02-18,,配達済み
201902140017-1,2019-02-14,C00002138,PA-BMBM,1,20000,2019-02-17,,配達済み
201902140010-1,2019-02-14,C00001337,PA-AMGM,1,16500,2019-02-17,,配達済み
201902140008-3,2019-02-14,C00001223,HC-BUNN,1,980,2019-02-18,,配達済み
201902140003-1,2019-02-14,C00000523,SK-AWGM,1,18100,2019-02-20,,配達済み
201902140002-1,2019-02-14,C00000462,TS-AMBM,1,7900,2019-02-20,,配達済み
201902140015-1,2019-02-14,C00002084,TB-AUNN,1,7800,2019-02-21,,配達済み
201902140008-4,2019-02-14,C00001223,SW-BWWS,1,15900,2019-02-20,,配達済み
201902140008-2,2019-02-14,C00001223,HA-AUNN,2,10560,2019-02-19,,配達済み
201902140014-1,2019-02-14,C00001831,SW-CWWL,1,18400,2019-02-20,,配達済み
201902140007-1,2019-02-14,C00001070,BP-CUNN,1,12900,2019-02-19,,配達済み
201902140008-1,2019-02-14,C00001223,TB-AUNN,1,7800,2019-02-21,,配達済み
201902140012-1,2019-02-14,C00001544,PA-BMBM,1,20000,2019-02-17,,配達済み
201902140011-1,2019-02-14,C00001348,TS-AWWS,1,8900,2019-02-17,,配達済み
201902170005-1,2019-02-17,C00000184,NI-BMGM,3,43500,2019-02-20,,配達済み
201902170010-1,2019-02-17,C00000765,HA-AUNN,2,10560,2019-02-20,,配達済み
201902170011-1,2019-02-17,C00001215,PA-BMBM,1,20000,2019-02-19,,配達済み
201902170016-1,2019-02-17,C00001806,VE-CMBL,1,16800,2019-02-21,,配達済み
201902170013-1,2019-02-17,C00001762,SK-AWWM,1,18100,2019-02-23,,配達済み
201902170008-1,2019-02-17,C00000685,HC-BUNN,1,980,2019-02-20,,配達済み
201902170001-1,2019-02-17,C00000038,HA-BUNN,4,19200,2019-02-21,,配達済み
201902170018-1,2019-02-17,C00002198,CT-AWBS,1,41200,2019-02-23,,配達済み
201902170002-1,2019-02-17,C00000154,PA-CWGM,2,28600,2019-02-20,,配達済み
201902170006-1,2019-02-17,C00000235,PA-AMWS,1,16500,2019-02-18,,配達済み
201902190010-1,2019-02-19,C00002081,SB-BUNN,1,6800,2019-02-23,,配達済み
201902190007-1,2019-02-19,C00001747,SK-AWGM,4,72400,2019-02-23,,配達済み
201902190000-1,2019-02-19,C00001153,SK-AWBM,1,18100,2019-02-25,,配達済み
201902190011-1,2019-02-19,C00002134,HA-AUNN,1,5280,2019-02-24,,配達済み
201902190008-1,2019-02-19,C00001795,PA-CWWM,4,57200,2019-02-22,,配達済み
201902190005-1,2019-02-19,C00001515,TS-CWGL,1,7600,2019-02-22,,配達済み
201902210007-1,2019-02-21,C00001331,SW-AMBM,1,16000,2019-02-27,,配達済み
201902210003-1,2019-02-21,C00000512,PA-BWBM,1,19800,2019-02-26,,配達済み
201902210005-1,2019-02-21,C00000523,SW-AWBS,1,17600,2019-03-01,,配達済み
201902210009-1,2019-02-21,C00001885,PA-AMGM,3,49500,2019-02-28,,配達済み
201902210001-1,2019-02-21,C00000227,TB-AUNN,1,7800,2019-03-01,,配達済み
201902210006-2,2019-02-21,C00000842,TO-AUNN,1,2280,2019-03-01,,配達済み
201902210011-1,2019-02-21,C00002089,PA-BWGS,1,19800,2019-02-28,,配達済み
201902210006-1,2019-02-21,C00000842,PA-BWBS,4,79200,2019-02-26,,配達済み
201902220001-2,2019-02-22,C00001326,HA-AUNN,1,5280,2019-02-28,,配達済み
201902220002-1,2019-02-22,C00001678,PA-BMWS,1,20000,2019-03-01,,配達済み
201902220001-1,2019-02-22,C00001326,SK-AWWS,1,18100,2019-02-28,,配達済み
201902240000-1,2019-02-24,C00001218,HC-AUNN,1,1200,2019-03-03,,配達済み
201902240002-1,2019-02-24,C00001831,HC-BUNN,3,2940,2019-03-02,,配達済み
201902250001-2,2019-02-25,C00000146,NI-AWWM,4,44000,2019-02-27,,配達済み
201902250001-1,2019-02-25,C00000146,SB-CUNN,1,5890,2019-03-01,,配達済み
201902270000-1,2019-02-27,C00000244,BP-CUNN,1,12900,2019-03-07,,配達済み
201903010007-1,2019-03-01,C00002018,PA-BMWL,1,20000,2019-03-06,,配達済み
201903010002-1,2019-03-01,C00001186,JA-AWWL,1,31900,2019-03-09,,配達済み
201903010004-2,2019-03-01,C00001402,TO-AUNN,1,2280,2019-03-06,,配達済み
201903010005-1,2019-03-01,C00001496,SB-CUNN,3,17670,2019-03-06,,配達済み
201903010003-1,2019-03-01,C00001275,PA-BWGS,1,19800,2019-03-08,,配達済み
201903010004-1,2019-03-01,C00001402,HC-AUNN,1,1200,2019-03-08,,配達済み
201903010011-1,2019-03-01,C00002231,TO-BUNN,2,4360,2019-03-09,,配達済み
201903020005-1,2019-03-02,C00001023,PA-CWBS,1,14300,2019-03-07,,配達済み
201903020000-1,2019-03-02,C00000703,PA-CWWM,2,28600,2019-03-07,,配達済み
201903020007-1,2019-03-02,C00001765,SW-AKBL,1,7600,2019-03-06,,配達済み
201903020009-1,2019-03-02,C00001995,SW-CMBL,1,18400,2019-03-09,,配達済み
201903020004-1,2019-03-02,C00000893,TS-BWBL,1,7600,2019-03-03,,配達済み
201903030005-1,2019-03-03,C00000812,BP-AUNN,1,10200,2019-03-10,,配達済み
201903030009-1,2019-03-03,C00001042,TS-BWBL,1,7600,2019-03-10,,配達済み
201903030003-1,2019-03-03,C00000577,TB-AUNN,1,7800,2019-03-10,,配達済み
201903030002-1,2019-03-03,C00000036,NI-BWGS,4,60400,2019-03-09,,配達済み
201903030008-1,2019-03-03,C00000831,NI-AWGL,1,11000,2019-03-11,,配達済み
