顧客ID,売上_バッグ,購買回数_バッグ,売上_小物,購買回数_小物,売上_ボトムス,購買回数_ボトムス,売上_トップス,購買回数_トップス,売上_アウター,購買回数_アウター,group
C00000136,7800.0,1.0,6260.0,2.0,16500.0,1.0,10000.0,1.0,39600.0,1.0,0
C00000137,89700.0,6.0,0.0,0.0,93400.0,4.0,73600.0,1.0,18900.0,1.0,1
C00000138,6800.0,1.0,0.0,0.0,14300.0,1.0,39900.0,3.0,0.0,0.0,3
C00000139,0.0,0.0,3160.0,2.0,52200.0,3.0,51400.0,2.0,18900.0,1.0,0
C00000140,9800.0,1.0,5280.0,1.0,0.0,0.0,0.0,0.0,16800.0,1.0,0
C00000141,0.0,0.0,0.0,0.0,63800.0,3.0,36900.0,2.0,0.0,0.0,3
C00000142,0.0,0.0,6760.0,3.0,0.0,0.0,0.0,0.0,39600.0,1.0,0
C00000143,19600.0,2.0,0.0,0.0,14300.0,1.0,7600.0,1.0,22100.0,1.0,0
C00000144,0.0,0.0,0.0,0.0,0.0,0.0,14500.0,1.0,0.0,0.0,3
C00000145,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,1.0,0.0,0.0,3
C00000146,49290.0,5.0,10580.0,2.0,0.0,0.0,80800.0,3.0,0.0,0.0,1
C00000147,6800.0,1.0,7560.0,2.0,36500.0,2.0,0.0,0.0,0.0,0.0,3
C00000148,23400.0,1.0,1200.0,1.0,0.0,0.0,23200.0,2.0,0.0,0.0,3
C00000149,0.0,0.0,0.0,0.0,20000.0,1.0,14500.0,1.0,0.0,0.0,3
C00000150,6800.0,1.0,0.0,0.0,30800.0,2.0,0.0,0.0,0.0,0.0,3
C00000151,6800.0,1.0,0.0,0.0,88400.0,4.0,12400.0,1.0,0.0,0.0,3
C00000152,19600.0,1.0,0.0,0.0,79200.0,1.0,30800.0,2.0,66300.0,1.0,0
C00000153,0.0,0.0,0.0,0.0,79400.0,3.0,15200.0,2.0,0.0,0.0,3
C00000154,5890.0,1.0,4300.0,1.0,42900.0,2.0,83900.0,5.0,44200.0,1.0,2
C00000155,0.0,0.0,0.0,0.0,28600.0,2.0,64200.0,5.0,18000.0,1.0,0
C00000156,19600.0,1.0,0.0,0.0,56500.0,3.0,0.0,0.0,16800.0,1.0,0
C00000157,10200.0,1.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000158,29400.0,2.0,1200.0,1.0,40000.0,2.0,28100.0,3.0,0.0,0.0,1
C00000159,0.0,0.0,1200.0,1.0,14300.0,1.0,20000.0,2.0,31900.0,1.0,0
C00000160,6800.0,1.0,0.0,0.0,84600.0,5.0,47800.0,2.0,0.0,0.0,3
C00000161,0.0,0.0,4800.0,1.0,16500.0,1.0,0.0,0.0,0.0,0.0,3
C00000162,0.0,0.0,5280.0,1.0,20000.0,1.0,14500.0,1.0,0.0,0.0,3
C00000163,18600.0,2.0,2180.0,1.0,19800.0,1.0,11000.0,1.0,0.0,0.0,1
C00000164,0.0,0.0,0.0,0.0,80000.0,1.0,15900.0,1.0,0.0,0.0,3
C00000165,35600.0,2.0,0.0,0.0,16500.0,1.0,25300.0,2.0,0.0,0.0,1
C00000166,0.0,0.0,2180.0,1.0,14300.0,1.0,78400.0,3.0,0.0,0.0,3
C00000167,0.0,0.0,2180.0,1.0,32400.0,2.0,26300.0,2.0,0.0,0.0,3
C00000168,0.0,0.0,2940.0,1.0,101000.0,3.0,17600.0,1.0,16800.0,1.0,0
C00000169,17600.0,2.0,25420.0,2.0,28600.0,2.0,62500.0,4.0,103200.0,2.0,2
C00000170,0.0,0.0,0.0,0.0,37900.0,2.0,38700.0,3.0,0.0,0.0,3
C00000171,0.0,0.0,4360.0,2.0,0.0,0.0,16000.0,1.0,0.0,0.0,3
C00000172,0.0,0.0,0.0,0.0,96500.0,3.0,43500.0,1.0,38900.0,1.0,0
C00000173,20000.0,2.0,15840.0,4.0,172300.0,8.0,92900.0,9.0,75200.0,3.0,2
C00000174,6800.0,1.0,4800.0,1.0,28600.0,2.0,44500.0,2.0,60900.0,2.0,0
C00000175,0.0,0.0,4560.0,1.0,0.0,0.0,23900.0,2.0,0.0,0.0,3
C00000176,9800.0,1.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000177,0.0,0.0,0.0,0.0,0.0,0.0,55900.0,3.0,0.0,0.0,3
C00000178,20000.0,2.0,6980.0,2.0,42900.0,3.0,22700.0,2.0,0.0,0.0,1
C00000179,8800.0,1.0,2180.0,1.0,0.0,0.0,35100.0,3.0,31900.0,1.0,0
C00000180,10200.0,1.0,6540.0,2.0,0.0,0.0,7600.0,1.0,0.0,0.0,3
C00000181,0.0,0.0,23360.0,5.0,30800.0,2.0,118600.0,6.0,95700.0,1.0,2
C00000182,0.0,0.0,2180.0,1.0,30800.0,2.0,7600.0,1.0,0.0,0.0,3
C00000183,24800.0,3.0,6480.0,2.0,14300.0,1.0,38600.0,3.0,31900.0,1.0,1
C00000184,0.0,0.0,0.0,0.0,45100.0,3.0,43500.0,1.0,0.0,0.0,3
C00000185,17600.0,1.0,2180.0,1.0,74300.0,2.0,36500.0,3.0,22100.0,1.0,0
C00000186,0.0,0.0,0.0,0.0,20000.0,1.0,16000.0,1.0,19400.0,1.0,0
C00000187,0.0,0.0,0.0,0.0,30800.0,2.0,0.0,0.0,0.0,0.0,3
C00000188,48290.0,6.0,11760.0,3.0,91800.0,5.0,100700.0,4.0,43100.0,2.0,2
C00000189,17600.0,2.0,0.0,0.0,89600.0,3.0,55100.0,3.0,0.0,0.0,1
C00000190,10200.0,1.0,0.0,0.0,66000.0,2.0,39700.0,2.0,0.0,0.0,3
C00000191,0.0,0.0,3480.0,2.0,39600.0,1.0,106600.0,4.0,0.0,0.0,3
C00000192,9800.0,1.0,4300.0,1.0,18100.0,1.0,59000.0,4.0,98000.0,2.0,0
C00000193,9800.0,1.0,4800.0,1.0,14300.0,1.0,34300.0,2.0,21000.0,1.0,0
C00000194,19600.0,1.0,5280.0,1.0,28600.0,1.0,44500.0,3.0,84300.0,3.0,0
C00000195,19600.0,1.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000196,10200.0,1.0,11280.0,3.0,136900.0,4.0,15200.0,2.0,0.0,0.0,2
C00000197,54800.0,2.0,10560.0,2.0,14300.0,1.0,21000.0,2.0,0.0,0.0,1
C00000198,10200.0,1.0,4800.0,1.0,0.0,0.0,0.0,0.0,18000.0,1.0,0
C00000199,0.0,0.0,0.0,0.0,0.0,0.0,44200.0,3.0,0.0,0.0,3
C00000200,9800.0,1.0,0.0,0.0,0.0,0.0,42200.0,3.0,0.0,0.0,3
C00000201,0.0,0.0,3380.0,2.0,40600.0,2.0,115300.0,9.0,14500.0,1.0,2
C00000202,12900.0,1.0,0.0,0.0,19800.0,1.0,40500.0,4.0,37800.0,1.0,0
C00000203,8800.0,1.0,5280.0,1.0,36200.0,1.0,7600.0,1.0,0.0,0.0,3
C00000204,0.0,0.0,0.0,0.0,20000.0,1.0,0.0,0.0,62400.0,1.0,0
C00000205,0.0,0.0,0.0,0.0,78100.0,2.0,14500.0,1.0,0.0,0.0,3
C00000206,0.0,0.0,0.0,0.0,30800.0,2.0,11000.0,1.0,0.0,0.0,3
C00000207,0.0,0.0,2180.0,1.0,36500.0,2.0,31200.0,3.0,0.0,0.0,3
C00000208,21580.0,3.0,0.0,0.0,33000.0,1.0,23900.0,2.0,0.0,0.0,1
C00000209,0.0,0.0,1200.0,1.0,16500.0,1.0,26300.0,2.0,38800.0,1.0,0
C00000210,34200.0,2.0,0.0,0.0,18100.0,1.0,11000.0,1.0,35200.0,1.0,1
C00000211,7800.0,1.0,14880.0,3.0,192300.0,8.0,78100.0,5.0,41000.0,2.0,2
C00000212,0.0,0.0,14400.0,2.0,77500.0,4.0,0.0,0.0,0.0,0.0,3
C00000213,0.0,0.0,0.0,0.0,20000.0,1.0,0.0,0.0,31900.0,1.0,0
C00000214,42300.0,2.0,4800.0,1.0,18100.0,1.0,44300.0,3.0,18000.0,1.0,1
C00000215,17600.0,2.0,4560.0,2.0,30800.0,2.0,0.0,0.0,0.0,0.0,1
C00000216,9800.0,1.0,0.0,0.0,18100.0,1.0,12400.0,1.0,0.0,0.0,3
C00000217,6800.0,1.0,5280.0,1.0,0.0,0.0,15900.0,1.0,0.0,0.0,3
C00000218,15690.0,2.0,0.0,0.0,0.0,0.0,19900.0,2.0,21000.0,1.0,0
C00000219,0.0,0.0,1200.0,1.0,0.0,0.0,15900.0,1.0,89300.0,2.0,0
C00000220,46000.0,3.0,12260.0,3.0,126700.0,3.0,80500.0,4.0,0.0,0.0,2
C00000221,17600.0,1.0,0.0,0.0,89500.0,3.0,15800.0,1.0,0.0,0.0,3
C00000222,6800.0,1.0,2180.0,1.0,0.0,0.0,37200.0,1.0,0.0,0.0,3
C00000223,8800.0,1.0,980.0,1.0,14300.0,1.0,52100.0,3.0,0.0,0.0,3
C00000224,0.0,0.0,19200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
C00000225,0.0,0.0,980.0,1.0,16500.0,1.0,39200.0,3.0,0.0,0.0,3
C00000226,7800.0,1.0,4560.0,1.0,0.0,0.0,0.0,0.0,31900.0,1.0,0
C00000227,14600.0,2.0,4560.0,1.0,76200.0,3.0,23800.0,2.0,18900.0,1.0,1
C00000228,0.0,0.0,0.0,0.0,0.0,0.0,24500.0,2.0,0.0,0.0,3
C00000229,32500.0,2.0,0.0,0.0,20000.0,1.0,23900.0,2.0,39600.0,1.0,1
C00000230,0.0,0.0,0.0,0.0,60000.0,1.0,55600.0,2.0,0.0,0.0,3
C00000231,0.0,0.0,4800.0,1.0,124900.0,6.0,0.0,0.0,16800.0,1.0,2
C00000232,0.0,0.0,5280.0,1.0,14300.0,1.0,8900.0,1.0,0.0,0.0,3
C00000233,10200.0,1.0,980.0,1.0,18100.0,1.0,50100.0,3.0,0.0,0.0,3
C00000234,0.0,0.0,0.0,0.0,0.0,0.0,63700.0,2.0,0.0,0.0,3
C00000235,0.0,0.0,0.0,0.0,30800.0,2.0,0.0,0.0,0.0,0.0,3
C00000236,0.0,0.0,10080.0,2.0,0.0,0.0,36800.0,1.0,0.0,0.0,3
C00000237,0.0,0.0,1200.0,1.0,0.0,0.0,11000.0,1.0,0.0,0.0,3
C00000238,0.0,0.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000239,0.0,0.0,0.0,0.0,49500.0,2.0,0.0,0.0,0.0,0.0,3
C00000240,29400.0,1.0,4800.0,1.0,34100.0,2.0,47200.0,2.0,0.0,0.0,1
C00000241,0.0,0.0,0.0,0.0,40000.0,2.0,39700.0,3.0,0.0,0.0,3
C00000242,7800.0,1.0,0.0,0.0,80000.0,2.0,0.0,0.0,0.0,0.0,3
C00000243,0.0,0.0,0.0,0.0,60000.0,2.0,0.0,0.0,0.0,0.0,3
C00000244,12900.0,1.0,1200.0,1.0,0.0,0.0,7600.0,1.0,0.0,0.0,3
C00000245,20700.0,2.0,0.0,0.0,20000.0,1.0,0.0,0.0,0.0,0.0,3
C00000246,40800.0,1.0,8600.0,2.0,141200.0,7.0,117600.0,7.0,0.0,0.0,2
C00000247,0.0,0.0,4800.0,1.0,16500.0,1.0,0.0,0.0,0.0,0.0,3
C00000248,25800.0,1.0,1960.0,1.0,36500.0,2.0,23700.0,1.0,39600.0,1.0,0
C00000249,5890.0,1.0,3260.0,2.0,19800.0,1.0,64100.0,3.0,0.0,0.0,3
C00000250,25400.0,2.0,5280.0,1.0,98900.0,6.0,156300.0,6.0,0.0,0.0,2
C00000251,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,2.0,0.0,0.0,3
C00000252,5890.0,1.0,2280.0,1.0,97100.0,5.0,0.0,0.0,182300.0,4.0,0
C00000253,0.0,0.0,10560.0,3.0,47200.0,2.0,44500.0,3.0,35200.0,1.0,2
C00000254,0.0,0.0,0.0,0.0,34300.0,2.0,45200.0,3.0,0.0,0.0,3
C00000255,27800.0,3.0,2180.0,1.0,37900.0,2.0,15100.0,1.0,0.0,0.0,1
C00000256,7800.0,1.0,6840.0,1.0,0.0,0.0,26000.0,2.0,0.0,0.0,3
C00000257,0.0,0.0,12740.0,4.0,128700.0,5.0,80600.0,5.0,19800.0,1.0,2
C00000258,0.0,0.0,4800.0,1.0,20000.0,1.0,32000.0,2.0,19400.0,1.0,0
C00000259,0.0,0.0,0.0,0.0,36500.0,2.0,0.0,0.0,31900.0,1.0,0
C00000260,10200.0,1.0,0.0,0.0,94600.0,4.0,47300.0,4.0,0.0,0.0,3
C00000261,0.0,0.0,0.0,0.0,34300.0,2.0,0.0,0.0,0.0,0.0,3
C00000262,40400.0,4.0,2180.0,1.0,135200.0,7.0,89800.0,5.0,16800.0,1.0,2
C00000263,39200.0,2.0,1200.0,1.0,20000.0,1.0,0.0,0.0,0.0,0.0,1
C00000264,8800.0,1.0,4800.0,1.0,0.0,0.0,23700.0,1.0,19400.0,1.0,0
C00000265,7800.0,1.0,0.0,0.0,20000.0,1.0,47700.0,1.0,0.0,0.0,3
C00000266,5890.0,1.0,4800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3
C00000267,9800.0,1.0,0.0,0.0,0.0,0.0,14500.0,1.0,0.0,0.0,3
C00000268,12900.0,1.0,2180.0,1.0,20000.0,1.0,16000.0,1.0,0.0,0.0,3
C00000269,50600.0,2.0,3380.0,2.0,16500.0,1.0,0.0,0.0,0.0,0.0,1
C00000270,0.0,0.0,0.0,0.0,0.0,0.0,17600.0,2.0,0.0,0.0,3
C00000271,0.0,0.0,0.0,0.0,0.0,0.0,26000.0,2.0,0.0,0.0,3
C00000272,9800.0,1.0,0.0,0.0,16500.0,1.0,0.0,0.0,0.0,0.0,3
C00000273,23560.0,1.0,5500.0,2.0,89000.0,5.0,17400.0,1.0,41500.0,2.0,2
C00000274,19000.0,2.0,0.0,0.0,0.0,0.0,24700.0,2.0,0.0,0.0,3
C00000275,0.0,0.0,0.0,0.0,14300.0,1.0,22300.0,2.0,0.0,0.0,3
C00000276,0.0,0.0,3600.0,2.0,0.0,0.0,16000.0,1.0,0.0,0.0,3
